Location,Date,Longitude (x),Latitude (y),Station Name,Climate ID,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
Shelburne,2010-01-01,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,1,,-3.8,,-6.9,,-5.4,,23.4,,0,,0,,,M,6.7,,,,,,<31,
Shelburne,2010-01-02,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,2,,-0.2,,-4.8,,-2.5,,20.5,,0,,,M,,M,24.1,,8,,3,,33,
Shelburne,2010-01-03,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,3,,1.2,,-2.2,,-0.5,,18.5,,0,,,M,,M,16.5,,,,,,<31,
Shelburne,2010-01-04,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,4,,0.6,,-1.5,,-0.5,,18.5,,0,,,M,,M,3.3,,,,,,<31,
Shelburne,2010-01-05,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,5,,1.4,,-0.6,,0.4,,17.6,,0,,,M,,M,1.9,,,,,,<31,
Shelburne,2010-01-06,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,6,,-0.5,,-1.7,,-1.1,,19.1,,0,,0,,,M,1.4,,18,,,,<31,
Shelburne,2010-01-07,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,7,,-1.2,,-3.1,,-2.2,,20.2,,0,,,M,,M,0.6,,17,,,,<31,
Shelburne,2010-01-08,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,8,,-2,,-5.3,,-3.7,,21.7,,0,,,M,,M,1.2,,13,,,,<31,
Shelburne,2010-01-09,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,9,,-3,,-7.8,,-5.4,,23.4,,0,,,M,,M,1.2,,36,,,,<31,
Shelburne,2010-01-10,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,10,,-5,,-12.6,,-8.8,,26.8,,0,,,M,,M,0.7,,35,,,,<31,
Shelburne,2010-01-11,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,11,,-4.6,,-13.7,,-9.2,,27.2,,0,,0,,,M,1.2,,34,,,,<31,
Shelburne,2010-01-12,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,12,,-5.1,,-11.3,,-8.2,,26.2,,0,,,M,,M,0,,37,,,,<31,
Shelburne,2010-01-13,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,13,,-6.8,,-11.3,,-9.1,,27.1,,0,,,M,,M,0.7,,36,,,,<31,
Shelburne,2010-01-14,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,14,,-2.7,,-7.6,,-5.2,,23.2,,0,,,M,,M,0.6,,34,,,,<31,
Shelburne,2010-01-15,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,15,,2.1,,-2.7,,-0.3,,18.3,,0,,,M,,M,0,,33,,,,<31,
Shelburne,2010-01-16,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,16,,3.4,,-2.4,,0.5,,17.5,,0,,,M,,M,0.8,,29,,,,<31,
Shelburne,2010-01-17,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,17,,-0.7,,-9.9,,-5.3,,23.3,,0,,,M,,M,0.7,,28,,,,<31,
Shelburne,2010-01-18,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,18,,-4.5,,-7.6,,-6.1,,24.1,,0,,0,,,M,6.4,,28,,7,,35,
Shelburne,2010-01-19,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,19,,2.1,,-4.5,,-1.2,,19.2,,0,,,M,,M,0.7,,34,,,,<31,
Shelburne,2010-01-20,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,20,,-0.2,,-3.2,,-1.7,,19.7,,0,,0,,,M,10.2,,39,,12,,37,
Shelburne,2010-01-21,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,21,,-2,,-7.2,,-4.6,,22.6,,0,,,M,,M,0.8,,43,,,,<31,
Shelburne,2010-01-22,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,22,,-2.6,,-12.6,,-7.6,,25.6,,0,,,M,,M,0.6,,41,,,,<31,
Shelburne,2010-01-23,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,23,,-5.6,,-14.6,,-10.1,,28.1,,0,,,M,,M,0.7,,39,,,,<31,
Shelburne,2010-01-24,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,24,,-0.3,,-14.5,,-7.4,,25.4,,0,,,M,,M,0.6,,38,,,,<31,
Shelburne,2010-01-25,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,25,,7.4,,-9.6,,-1.1,,19.1,,0,,,M,,M,12.3,,37,,16,,41,
Shelburne,2010-01-26,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,26,,9.2,,-1,,4.1,,13.9,,0,,,M,,M,17.2,,15,,22,,44,
Shelburne,2010-01-27,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,27,,5.1,,-2.5,,1.3,,16.7,,0,,,M,,M,1.6,,13,,,,<31,
Shelburne,2010-01-28,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,28,,3.3,,-5.7,,-1.2,,19.2,,0,,0,,,M,2.5,,12,,,,<31,
Shelburne,2010-01-29,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,29,,-0.7,,-12,,-6.4,,24.4,,0,,0,,,M,14.3,,28,,26,,33,
Shelburne,2010-01-30,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,30,,-7.6,,-15.6,,-11.6,,29.6,,0,,,M,,M,1.3,,37,,25,,32,
Shelburne,2010-01-31,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,1,31,,-9.6,,-15.7,,-12.7,,30.7,,0,,,M,,M,0,,31,,,,<31,
Shelburne,2010-02-01,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,1,,-3.9,,-12.4,,-8.2,,26.2,,0,,0,,,M,3.4,,28,,,,<31,
Shelburne,2010-02-02,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,2,,-10.2,,-19.3,,-14.8,,32.8,,0,,,M,,M,1.2,,32,,30,,32,
Shelburne,2010-02-03,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,3,,-5.1,,-18.7,,-11.9,,29.9,,0,,,M,,M,0,,29,,,,<31,
Shelburne,2010-02-04,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,4,,-3.8,,-12.4,,-8.1,,26.1,,0,,,M,,M,0.6,,27,,,,<31,
Shelburne,2010-02-05,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,5,,-8.4,,-14.8,,-11.6,,29.6,,0,,0,,,M,1.3,,29,,,,<31,
Shelburne,2010-02-06,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,6,,-8.9,,-14.5,,-11.7,,29.7,,0,,,M,,M,0,,28,,1,,33,
Shelburne,2010-02-07,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,7,,-2.8,,-14.3,,-8.6,,26.6,,0,,,M,,M,1.2,,27,,,,<31,
Shelburne,2010-02-08,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,8,,-1.4,,-4.9,,-3.2,,21.2,,0,,0,,,M,1.3,,29,,,,<31,
Shelburne,2010-02-09,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,9,,1.6,,-3.9,,-1.2,,19.2,,0,,,M,,M,1.3,,29,,,,<31,
Shelburne,2010-02-10,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,10,,2.8,,-6.8,,-2,,20,,0,,,M,,M,0.7,,26,,7,,35,
Shelburne,2010-02-11,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,11,,-0.8,,-4.6,,-2.7,,20.7,,0,,,M,,M,0,,26,,4,,35,
Shelburne,2010-02-12,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,12,,1.4,,-1.3,,0.1,,17.9,,0,,,M,,M,0,,26,,,,<31,
Shelburne,2010-02-13,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,13,,1.6,,-5.8,,-2.1,,20.1,,0,,,M,,M,0,,24,,,,<31,
Shelburne,2010-02-14,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,14,,-0.6,,-5.7,,-3.2,,21.2,,0,,,M,,M,0.6,,24,,,,<31,
Shelburne,2010-02-15,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,15,,-0.3,,-3.2,,-1.8,,19.8,,0,,,M,,M,0.7,,24,,,,<31,
Shelburne,2010-02-16,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,16,,4.1,,-5.6,,-0.8,,18.8,,0,,0,,,M,6.1,,24,,,,<31,
Shelburne,2010-02-17,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,17,,-0.4,,-2.5,,-1.5,,19.5,,0,,0,,,M,13.9,,39,,35,,35,
Shelburne,2010-02-18,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,18,,1.4,,-0.9,,0.3,,17.7,,0,,,M,,M,4.6,,42,,,,<31,
Shelburne,2010-02-19,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,19,,1.9,,-1,,0.5,,17.5,,0,,,M,,M,0.7,,34,,,,<31,
Shelburne,2010-02-20,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,20,,4.9,,-0.4,,2.3,,15.7,,0,,,M,,M,0,,30,,,,<31,
Shelburne,2010-02-21,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,21,,1.9,,-1,,0.5,,17.5,,0,,0,,,M,2.9,,27,,,,<31,
Shelburne,2010-02-22,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,22,,0.6,,-1.4,,-0.4,,18.4,,0,,,M,,M,1.2,,26,,,,<31,
Shelburne,2010-02-23,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,23,,2,,-1.9,,0.1,,17.9,,0,,,M,,M,0.6,,25,,,,<31,
Shelburne,2010-02-24,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,24,,0.4,,-1.7,,-0.7,,18.7,,0,,,M,,M,0.6,,23,,7,,41,
Shelburne,2010-02-25,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,25,,1.7,,-1.1,,0.3,,17.7,,0,,,M,,M,7.3,,22,,9,,65,
Shelburne,2010-02-26,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,26,,3.9,,1.5,,2.7,,15.3,,0,,,M,,M,68.9,,16,,12,,65,
Shelburne,2010-02-27,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,27,,3.2,,-0.5,,1.4,,16.6,,0,,,M,,M,0.7,,8,,,,<31,
Shelburne,2010-02-28,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,2,28,,2.7,,0.1,,1.4,,16.6,,0,,,M,,M,15.6,,7,,5,,54,
Shelburne,2010-03-01,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,1,,2.9,,-0.2,,1.4,,16.6,,0,,,M,,M,2.8,,2,,,,<31,
Shelburne,2010-03-02,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,2,,1.6,,-2.5,,-0.5,,18.5,,0,,,M,,M,0.7,,,,2,,37,
Shelburne,2010-03-03,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,3,,1.1,,-3,,-1,,19,,0,,,M,,M,0,,,,5,,35,
Shelburne,2010-03-04,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,4,,-0.1,,-3.3,,-1.7,,19.7,,0,,0,,,M,8.3,,,,6,,46,
Shelburne,2010-03-05,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,5,,-1.7,,-6.6,,-4.2,,22.2,,0,,,M,,M,0,,5,,1,,41,
Shelburne,2010-03-06,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,6,,5.5,,-6.6,,-0.6,,18.6,,0,,,M,,M,1.3,,4,,1,,32,
Shelburne,2010-03-07,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,7,,8.7,,-3.9,,2.4,,15.6,,0,,,M,,M,1,,1,,,,<31,
Shelburne,2010-03-08,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,8,,9,,-2.3,,3.4,,14.6,,0,,,M,,M,1.5,,,,,,<31,
Shelburne,2010-03-09,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,9,,2.7,,-5.2,,-1.3,,19.3,,0,,,M,,M,0.6,,,,,,<31,
Shelburne,2010-03-10,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,10,,5.5,,-6.9,,-0.7,,18.7,,0,,,M,,M,1.4,,,,,,<31,
Shelburne,2010-03-11,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,11,,6.2,,-5.6,,0.3,,17.7,,0,,,M,,M,1.3,,,,,,<31,
Shelburne,2010-03-12,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,12,,7.8,,-5.1,,1.4,,16.6,,0,,,M,,M,2.1,,,,,,<31,
Shelburne,2010-03-13,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,13,,5.3,,-5.2,,0.1,,17.9,,0,,,M,,M,0,,,,,,<31,
Shelburne,2010-03-14,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,14,,4.9,,-1.7,,1.6,,16.4,,0,,,M,,M,0,,,,7,,41,
Shelburne,2010-03-15,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,15,,10.7,,-1.3,,4.7,,13.3,,0,,,M,,M,0,,,,8,,48,
Shelburne,2010-03-16,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,16,,11.9,,-3.1,,4.4,,13.6,,0,,,M,,M,0,,,,,,<31,
Shelburne,2010-03-17,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,17,,15.7,,-2.2,,6.8,,11.2,,0,,,M,,M,1.4,,,,,,<31,
Shelburne,2010-03-18,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,18,,16.1,,0,,8.1,,9.9,,0,,,M,,M,0.7,,,,,,<31,
Shelburne,2010-03-19,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,19,,14.6,,-1.9,,6.4,,11.6,,0,,,M,,M,0.9,,,,,,<31,
Shelburne,2010-03-20,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,20,,20.6,,1.3,,11,,7,,0,,,M,,M,1.7,,,,,,<31,
Shelburne,2010-03-21,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,21,,10.2,,0.1,,5.2,,12.8,,0,,,M,,M,0.7,,,,,,<31,
Shelburne,2010-03-22,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,22,,15,,2.8,,8.9,,9.1,,0,,,M,,M,1.7,,,,,,<31,
Shelburne,2010-03-23,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,23,,6.6,,2.8,,4.7,,13.3,,0,,,M,,M,24.4,,,,7,,44,
Shelburne,2010-03-24,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,24,,7,,-0.9,,3.1,,14.9,,0,,,M,,M,5.5,,,,35,,43,
Shelburne,2010-03-25,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,25,,11,,-1.8,,4.6,,13.4,,0,,,M,,M,1.2,,,,35,,33,
Shelburne,2010-03-26,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,26,,5.9,,-8,,-1.1,,19.1,,0,,,M,,M,8.7,,,,,,<31,
Shelburne,2010-03-27,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,27,,-3,,-10.1,,-6.6,,24.6,,0,,,M,,M,0,,1,,,,<31,
Shelburne,2010-03-28,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,28,,3.3,,-10,,-3.4,,21.4,,0,,,M,,M,0.8,,1,,,,<31,
Shelburne,2010-03-29,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,29,,7.9,,-1.6,,3.2,,14.8,,0,,,M,,M,1.4,,,,18,,37,
Shelburne,2010-03-30,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,30,,14.8,,7,,10.9,,7.1,,0,,,M,,M,15.9,,,,13,,35,
Shelburne,2010-03-31,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,3,31,,15.4,,7.4,,11.4,,6.6,,0,,,M,,M,,M,,,,,<31,
Shelburne,2010-04-01,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,4,1,,15.8,,5.4,,10.6,,7.4,,0,,,M,,M,,M,,,,,<31,
Shelburne,2010-04-02,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,4,2,,19.6,,6.2,,12.9,,5.1,,0,,,M,,M,0.7,,,,,,<31,
Shelburne,2010-04-03,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,4,3,,23.1,,6.5,,14.8,,3.2,,0,,,M,,M,0.6,,,,,,<31,
Shelburne,2010-04-04,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,4,4,,23.9,,5.8,,14.9,,3.1,,0,,,M,,M,0,,,,,,<31,
Shelburne,2010-04-05,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,4,5,,20.9,,5.6,,13.3,,4.7,,0,,,M,,M,0,,,,,,<31,
Shelburne,2010-04-06,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,4,6,,16.6,,5.9,,11.3,,6.7,,0,,,M,,M,0,,,,,,<31,
Shelburne,2010-04-07,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,4,7,,14.5,,6.3,,10.4,,7.6,,0,,,M,,M,2.8,,,,,,<31,
Shelburne,2010-04-08,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,4,8,,16.2,,6.4,,11.3,,6.7,,0,,,M,,M,0.8,,,,,,<31,
Shelburne,2010-04-09,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,4,9,,14.6,,4.2,,9.4,,8.6,,0,,,M,,M,2.5,,,,18,,44,
Shelburne,2010-04-10,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,4,10,,12.2,,1.6,,6.9,,11.1,,0,,,M,,M,1.6,,,,22,,35,
Shelburne,2010-04-11,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,4,11,,14.7,,0.1,,7.4,,10.6,,0,,,M,,M,0,,,,,,<31,
Shelburne,2010-04-12,-65.2,44.4,KEJIMKUJIK 1,8202592,2010,4,12,,13.4,,0.3,,6.9,,11.1,,0,,,M,,M,0.6,,,,,,<31,
